trace_id,start_time,end_time,peak_time,max_confidence,phase
NW.L44A.00,2024-07-14T04:22:55.490000Z,2024-07-14T04:22:55.870000Z,2024-07-14T04:22:55.670000Z,0.6361006,P
NW.L44A.00,2024-07-14T04:22:56.670000Z,2024-07-14T04:22:57.060000Z,2024-07-14T04:22:56.830000Z,0.49989262,S
NW.L44A.00,2024-07-14T04:23:02.590000Z,2024-07-14T04:23:03.110000Z,2024-07-14T04:23:02.820000Z,0.45061794,P
NW.L44A.00,2024-07-14T04:23:03.840000Z,2024-07-14T04:23:04.320000Z,2024-07-14T04:23:04.050000Z,0.49939528,S
NW.L44A.00,2024-07-14T04:38:31.330000Z,2024-07-14T04:38:31.620000Z,2024-07-14T04:38:31.420000Z,0.17476185,P
NW.L44A.00,2024-07-14T04:38:38.880000Z,2024-07-14T04:38:39.250000Z,2024-07-14T04:38:39.040000Z,0.43135566,P
NW.L44A.00,2024-07-14T04:38:40.470000Z,2024-07-14T04:38:40.810000Z,2024-07-14T04:38:40.630000Z,0.3445592,S
NW.L44A.00,2024-07-14T05:13:09.740000Z,2024-07-14T05:13:09.890000Z,2024-07-14T05:13:09.760000Z,0.11063113,P
NW.L44A.00,2024-07-14T12:54:22.450000Z,2024-07-14T12:54:22.860000Z,2024-07-14T12:54:22.640000Z,0.52167237,P
NW.L44A.00,2024-07-14T12:54:26.430000Z,2024-07-14T12:54:26.810000Z,2024-07-14T12:54:26.590000Z,0.53545326,S
NW.L44A.00,2024-07-14T12:54:36.210000Z,2024-07-14T12:54:36.650000Z,2024-07-14T12:54:36.390000Z,0.1494731,P
NW.L44A.00,2024-07-14T12:54:39.970000Z,2024-07-14T12:54:40.320000Z,2024-07-14T12:54:40.110000Z,0.26096624,S
NW.L44A.00,2024-07-14T13:01:33.020000Z,2024-07-14T13:01:33.630000Z,2024-07-14T13:01:33.240000Z,0.51458585,P
NW.L44A.00,2024-07-14T13:01:36.050000Z,2024-07-14T13:01:36.480000Z,2024-07-14T13:01:36.270000Z,0.7649035,S
NW.L44A.00,2024-07-14T13:10:09.010000Z,2024-07-14T13:10:09.780000Z,2024-07-14T13:10:09.380000Z,0.2970456,S
NW.L44A.00,2024-07-15T01:54:49.990000Z,2024-07-15T01:54:50.200000Z,2024-07-15T01:54:50.040000Z,0.1325584,P
NW.L44A.00,2024-07-15T04:07:53.700000Z,2024-07-15T04:07:54.150000Z,2024-07-15T04:07:53.930000Z,0.6867111,P
NW.L44A.00,2024-07-15T04:07:55.350000Z,2024-07-15T04:07:55.750000Z,2024-07-15T04:07:55.540000Z,0.74589646,S
NW.L44A.00,2024-07-15T07:54:08.520000Z,2024-07-15T07:54:09.120000Z,2024-07-15T07:54:08.710000Z,0.8253553,P
NW.L44A.00,2024-07-15T07:54:19.000000Z,2024-07-15T07:54:19.590000Z,2024-07-15T07:54:19.290000Z,0.570982,S
